"key,Sexe,AnneeNaissance,CSP,AgeDec,ClubJDR,NbJeuJoue,FreqJeu,DureeMoyPartie,PJMJ,Conv,AchatJDR,NbUniversAchat,NbOuvrageAche,DpnsAnnull"
"2114,H,1996-2000,Cadre +,15-16,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20-50 "
"2115,H,1971-1975,Cadre +,11-12,Oui,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,16+,51+,20 "
"2117,H,1986-1990,En recherche d'emploi,13-14,Oui,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,21-30,20-50 "
"2118,H,1966-1970,Cadre +,15-16,Oui,11-20,1/semaine,5-6 h ,Les 2,Non,Oui,6-10,51+,100-200 "
"2120,F,1981-1985,Sans activite,17-18,Oui,11-20,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,2-5,16-20,20 "
"2121,H,1976-1980,Cadre +,13-14,Oui,11-20,1/an,5-6 h ,MJ,Non,Oui,11-15,51+,500+ "
"2126,H,1971-1975,Employe,13-14,Non,21+,2/mois,3-4 h ,MJ,Non,Oui,16+,51+,100-200 "
"2128,H,1971-1975,Je ne souhaite pas repondre,13-14,Non,11-20,Je ne joue plus vraiment,Le week end,Les 2,Non,Oui,6-10,21-30,100-200 "
"2129,F,1986-1990,Etudiant,17-18,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,500+ "
"2131,H,1991-1995,Etudiant,11-12,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,11-15,20 "
"2132,H,1971-1975,Cadre +,11-12,Oui,21+,3/an,3-4 h ,Les 2,Oui,Oui,16+,51+,20-50 "
"2133,H,1971-1975,Employe,13-14,Non,6-10,1/mois,7 h +,Les 2,Non,Oui,1,2 ou 3,20 "
"2134,H,1971-1975,Sans activite,13-14,Oui,21+,1/mois,7 h +,Les 2,Oui,Oui,11-15,31-50,100-200 "
"2135,H,1986-1990,En recherche d'emploi,13-14,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,11-15,100-200 "
"2136,F,1986-1990,Cadre +,17-18,Non,2-5,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,1,4-6,100-200 "
"2138,H,1971-1975,Cadre +,13-14,Non,21+,2/mois,5-6 h ,Les 2,Non,Oui,6-10,51+,50-100 "
"2139,H,1976-1980,Cadre +,13-14,Non,6-10,1/an,5-6 h ,Les 2,Non,Oui,6-10,31-50,20 "
"2140,F,1981-1985,Cadre +,17-18,Non,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,11-15,51+,20-50 "
"2141,H,1976-1980,Cadre +,15-16,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,11-15,31-50,50-100 "
"2144,H,1986-1990,Cadre +,25-30,Non,2-5,2/mois,3-4 h ,Les 2,Non,Non,0,0,0"
"2145,H,1981-1985,Cadre +,17-18,Non,6-10,1/semaine,5-6 h ,Les 2,Non,Oui,1,1,20 "
"2146,H,1976-1980,Cadre +,15-16,Oui,11-20,1/an,Le week end,Les 2,Oui,Oui,6-10,31-50,20-50 "
"2149,H,1976-1980,En recherche d'emploi,15-16,Non,11-20,3/an,7 h +,Les 2,Oui,Oui,16+,51+,20-50 "
"2151,H,1971-1975,Cadre +,11-12,Oui,21+,2/mois,Le week end,Les 2,Oui,Oui,6-10,51+,100-200 "
"2152,H,1966-1970,Cadre +,13-14,Non,11-20,2/mois,3-4 h ,MJ,Non,Oui,16+,51+,500+ "
"2153,F,1981-1985,Employe,13-14,Non,6-10,1/semaine,1-2 h ,PJ,Oui,Oui,2-5,4-6,100-200 "
"2154,H,1986-1990,Employe,15-16,Oui,6-10,2/mois,5-6 h ,PJ,Oui,Oui,2-5,7-10,50-100 "
"2155,H,1986-1990,En recherche d'emploi,19-20,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"2156,H,1971-1975,Employe,11-12,Oui,11-20,2/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,200-500 "
"2157,H,1966-1970,Cadre +,15-16,Oui,6-10,2/mois,5-6 h ,Les 2,Non,Oui,2-5,31-50,20-50 "
"2158,F,1991-1995,Employe,15-16,Oui,11-20,2/mois,7 h +,PJ,Oui,Oui,2-5,2 ou 3,20 "
"2159,H,1971-1975,Cadre +,13-14,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"2162,F,1981-1985,Travailleur independant,17-18,Non,2-5,3/an,5-6 h ,PJ,Non,Oui,2-5,4-6,20 "
"2166,H,1986-1990,Ouvrier,10,Non,2-5,1/semaine,1-2 h ,Les 2,Non,Oui,2-5,7-10,20 "
"2167,H,1966-1970,Cadre +,13-14,Non,11-20,3/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"2168,H,1971-1975,Employe,11-12,Non,6-10,Je ne joue plus vraiment,5-6 h ,MJ,Non,Oui,11-15,51+,100-200 "
"2169,H,1966-1970,Cadre +,23-24,Non,21+,1/mois,3-4 h ,Les 2,Non,Oui,11-15,31-50,100-200 "
"2170,H,1996-2000,Etudiant,13-14,Oui,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,2 ou 3,20 "
"2171,H,1960 ou avant,Retraite,19-20,Oui,2-5,Je ne joue plus vraiment,7 h +,PJ,Oui,Oui,1,2 ou 3,20 "
"2172,H,1981-1985,Etudiant,17-18,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,51+,500+ "
"2173,H,1971-1975,Travailleur independant,15-16,Non,6-10,2/mois,7 h +,Les 2,Non,Oui,2-5,7-10,100-200 "
"2175,H,1966-1970,Employe,13-14,Non,6-10,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,2-5,16-20,20 "
"2176,H,1986-1990,Etudiant,11-12,Non,6-10,1/semaine,5-6 h ,Les 2,Non,Oui,2-5,7-10,50-100 "
"2177,H,1976-1980,Profession intermediaire,15-16,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,6-10,31-50,50-100 "
"2178,H,1976-1980,En recherche d'emploi,11-12,Oui,11-20,3/an,5-6 h ,Les 2,Non,Oui,11-15,16-20,50-100 "
"2179,H,1976-1980,Cadre +,19-20,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,31-50,100-200 "
"2180,H,1976-1980,Employe,13-14,Non,2-5,3/an,5-6 h ,PJ,Non,Oui,2-5,16-20,20-50 "
"2181,H,1976-1980,Employe,13-14,Non,6-10,Je ne joue plus vraiment,Le week end,Les 2,Non,Oui,2-5,11-15,100-200 "
"2182,H,1991-1995,Etudiant,15-16,Non,2-5,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Non,0,0,0"
"2183,H,1971-1975,Cadre +,11-12,Oui,11-20,1/mois,5-6 h ,MJ,Oui,Oui,6-10,31-50,50-100 "
"2184,F,1981-1985,Cadre +,15-16,Non,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,1,7-10,20 "
"2186,H,1971-1975,Travailleur independant,15-16,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,2-5,7-10,20 "
"2187,H,1996-2000,Etudiant,13-14,Oui,6-10,1/mois,5-6 h ,PJ,Oui,Oui,2-5,4-6,50-100 "
"2188,H,1976-1980,Ouvrier,17-18,Non,21+,2/mois,3-4 h ,Les 2,Non,Oui,2-5,7-10,20 "
"2190,H,1986-1990,Etudiant,17-18,Oui,11-20,1/mois,5-6 h ,Les 2,Non,Oui,1,4-6,20 "
"2192,H,1991-1995,Etudiant,19-20,Oui,2-5,1/mois,5-6 h ,Les 2,Oui,Non,0,0,0"
"2194,H,1991-1995,Etudiant,17-18,Non,2-5,1/mois,3-4 h ,Les 2,Non,Oui,1,4-6,50-100 "
"2196,H,1981-1985,Cadre +,17-18,Non,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,21-30,50-100 "
"2197,H,1981-1985,Profession intermediaire,11-12,Non,11-20,2/mois,5-6 h ,Les 2,Non,Oui,2-5,11-15,100-200 "
"2198,H,1971-1975,Je ne souhaite pas repondre,13-14,Non,21+,3/an,5-6 h ,Les 2,Non,Oui,16+,51+,200-500 "
"2202,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,21-30,20 "
"2203,H,1976-1980,Employe,15-16,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,51+,50-100 "
"2204,H,1976-1980,Employe,13-14,Oui,6-10,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,51+,50-100 "
"2205,H,1981-1985,Employe,11-12,Non,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,4-6,20 "
"2206,H,1981-1985,Travailleur independant,13-14,Non,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,7-10,50-100 "
"2207,H,1976-1980,Travailleur independant,11-12,Oui,11-20,2/mois,5-6 h ,Les 2,Non,Oui,6-10,16-20,20-50 "
"2210,H,1981-1985,Employe,13-14,Non,11-20,1/mois,5-6 h ,PJ,Non,Oui,1,2 ou 3,20-50 "
"2212,H,1981-1985,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,11-15,51+,200-500 "
"2214,H,1981-1985,Cadre +,13-14,Non,2-5,1/mois,3-4 h ,PJ,Non,Oui,2-5,4-6,20 "
"2215,H,1986-1990,Etudiant,15-16,Oui,2-5,3/an,Le week end,Les 2,Oui,Oui,2-5,11-15,20-50 "
"2216,H,1971-1975,Profession intermediaire,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Non,Oui,16+,51+,200-500 "
"2217,F,1986-1990,En recherche d'emploi,17-18,Oui,6-10,1/mois,5-6 h ,PJ,Oui,Oui,2-5,2 ou 3,20 "
"2219,H,1991-1995,En recherche d'emploi,10,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,6-10,2 ou 3,20-50 "
"2220,H,1986-1990,Employe,11-12,Oui,6-10,1/mois,7 h +,Les 2,Non,Oui,2-5,11-15,50-100 "
"2221,H,1976-1980,Travailleur independant,15-16,Non,6-10,2/mois,3-4 h ,Les 2,Non,Oui,2-5,2 ou 3,20 "
"2222,H,1966-1970,Cadre +,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"2224,H,1991-1995,Etudiant,19-20,Non,1,3/an,7 h +,PJ,Non,Non,0,0,0"
"2225,H,1981-1985,Cadre +,13-14,Oui,11-20,Je ne joue plus vraiment,7 h +,Les 2,Oui,Oui,2-5,21-30,20-50 "
"2226,H,1981-1985,En recherche d'emploi,13-14,Oui,11-20,1/semaine,5-6 h ,PJ,Non,Oui,1,11-15,50-100 "
"2227,F,1991-1995,Etudiant,15-16,Oui,2-5,1/semaine,Le week end,PJ,Oui,Oui,2-5,2 ou 3,50-100 "
"2229,H,1986-1990,En recherche d'emploi,15-16,Oui,6-10,1/mois,7 h +,Les 2,Non,Oui,2-5,11-15,20-50 "
"2231,H,1981-1985,Cadre +,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"2232,H,1986-1990,En recherche d'emploi,15-16,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,2-5,11-15,20-50 "
"2233,H,1971-1975,Cadre +,17-18,Oui,21+,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,2-5,11-15,20 "
"2234,H,1976-1980,Travailleur independant,13-14,Oui,21+,1/semaine,3-4 h ,Les 2,Non,Oui,6-10,31-50,100-200 "
"2235,H,1971-1975,Cadre +,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,11-15,21-30,100-200 "
"2237,H,1976-1980,Cadre +,19-20,Oui,6-10,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,16+,51+,100-200 "
"2240,F,1966-1970,Profession intermediaire,23-24,Oui,21+,Je ne joue plus vraiment,3-4 h ,PJ,Oui,Oui,1,4-6,20 "
"2241,H,1976-1980,Employe,13-14,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,6-10,21-30,50-100 "
"2242,H,1991-1995,Etudiant,15-16,Oui,6-10,1/mois,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,100-200 "
"2243,F,1991-1995,Etudiant,21-22,Oui,6-10,2/mois,3-4 h ,PJ,Non,Non,0,0,0"
"2246,F,1986-1990,Etudiant,15-16,Non,6-10,1/mois,5-6 h ,PJ,Non,Oui,1,1,20 "
"2247,H,1981-1985,Cadre +,17-18,Oui,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Non,Oui,2-5,16-20,20 "
"2248,F,1981-1985,Cadre +,23-24,Non,6-10,1/an,3-4 h ,PJ,Oui,Oui,2-5,4-6,20 "
"2250,F,1966-1970,Je ne souhaite pas repondre,13-14,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"2251,H,1986-1990,Employe,17-18,Oui,6-10,2/mois,3-4 h ,Les 2,Oui,Oui,6-10,21-30,50-100 "
"2252,H,1991-1995,Employe,17-18,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,21-30,200-500 "
"2254,H,1991-1995,Etudiant,10,Oui,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,1,1,20 "
"2255,H,1986-1990,Employe,13-14,Non,6-10,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"2256,H,1966-1970,Employe,25-30,Non,21+,1/mois,3-4 h ,Les 2,Oui,Oui,16+,51+,50-100 "
"2258,H,1981-1985,Cadre +,11-12,Non,6-10,3/an,3-4 h ,Les 2,Non,Oui,2-5,11-15,20-50 "
"2259,H,1991-1995,Travailleur independant,21-22,Non,1,1/mois,5-6 h ,PJ,Oui,Non,0,0,0"
"2260,H,1976-1980,Profession intermediaire,15-16,Non,6-10,3/an,3-4 h ,Les 2,Non,Oui,2-5,31-50,20 "
"2261,H,1981-1985,Cadre +,13-14,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,21-30,100-200 "
"2263,H,1976-1980,Employe,19-20,Oui,6-10,2/mois,5-6 h ,Les 2,Oui,Oui,6-10,31-50,50-100 "
"2264,H,1986-1990,En recherche d'emploi,13-14,Non,11-20,3/an,5-6 h ,Les 2,Non,Oui,2-5,4-6,20-50 "
"2265,H,1976-1980,Cadre +,15-16,Oui,21+,1/mois,5-6 h ,Les 2,Non,Oui,11-15,51+,200-500 "
"2266,H,1971-1975,Cadre +,15-16,Oui,11-20,2/mois,7 h +,Les 2,Non,Oui,6-10,31-50,100-200 "
"2267,H,1981-1985,Employe,15-16,Non,2-5,2/mois,5-6 h ,Les 2,Non,Oui,2-5,4-6,20-50 "
"2268,H,1986-1990,Employe,19-20,Oui,2-5,1/mois,5-6 h ,PJ,Oui,Oui,2-5,4-6,20-50 "
"2270,F,1991-1995,Etudiant,10,Oui,6-10,1/semaine,5-6 h ,PJ,Oui,Non,0,0,0"
"2272,H,1966-1970,Profession intermediaire,15-16,Oui,11-20,1/mois,Le week end,PJ,Oui,Oui,11-15,51+,500+ "
"2273,H,1981-1985,Employe,21-22,Non,2-5,3/an,5-6 h ,Les 2,Non,Oui,2-5,7-10,20 "
"2274,H,1991-1995,Etudiant,19-20,Oui,1,2/mois,3-4 h ,PJ,Non,Non,0,0,0"
"2276,H,1991-1995,Etudiant,13-14,Oui,11-20,2/mois,7 h +,PJ,Oui,Oui,2-5,2 ou 3,100-200 "
"2278,H,1976-1980,Travailleur independant,15-16,Oui,21+,1/mois,7 h +,Les 2,Non,Oui,16+,51+,200-500 "
"2279,H,1971-1975,Cadre +,11-12,Non,21+,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,16+,51+,20-50 "
"2280,H,1971-1975,Profession intermediaire,10,Non,11-20,3/an,5-6 h ,Les 2,Non,Oui,2-5,21-30,20 "
"2281,H,1981-1985,Employe,15-16,Oui,11-20,3/an,5-6 h ,Les 2,Non,Oui,11-15,31-50,50-100 "
"2282,H,1971-1975,Cadre +,15-16,Non,11-20,1/semaine,3-4 h ,Les 2,Non,Oui,2-5,21-30,20 "
"2283,H,1981-1985,Etudiant,11-12,Oui,11-20,1/semaine,3-4 h ,Les 2,Oui,Oui,2-5,4-6,20-50 "
"2284,F,1976-1980,Travailleur independant,15-16,Oui,11-20,3/an,3-4 h ,Les 2,Non,Oui,2-5,11-15,20-50 "
"2285,F,1986-1990,Employe,15-16,Oui,6-10,1/mois,7 h +,PJ,Oui,Oui,1,2 ou 3,20 "
"2286,H,1986-1990,Cadre +,15-16,Non,2-5,3/an,7 h +,PJ,Non,Non,0,0,0"
"2287,H,1976-1980,Cadre +,11-12,Non,6-10,3/an,5-6 h ,MJ,Non,Oui,11-15,51+,500+ "
"2289,H,1971-1975,Cadre +,19-20,Oui,6-10,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,4-6,20 "
"2290,H,1981-1985,Ouvrier,11-12,Oui,21+,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,21-30,50-100 "
"2291,F,1986-1990,Employe,21-22,Oui,11-20,2/mois,5-6 h ,PJ,Non,Oui,2-5,7-10,50-100 "
"2292,H,1976-1980,Employe,17-18,Non,2-5,Je ne joue plus vraiment,5-6 h ,PJ,Non,Oui,2-5,11-15,20 "
"2293,H,1986-1990,Profession intermediaire,11-12,Non,6-10,Je ne joue plus vraiment,5-6 h ,MJ,Non,Oui,16+,51+,500+ "
"2294,H,1991-1995,Etudiant,15-16,Oui,11-20,1/semaine,7 h +,PJ,Oui,Non,0,0,0"
"2295,H,1976-1980,Profession intermediaire,15-16,Non,11-20,3/an,5-6 h ,MJ,Non,Oui,6-10,21-30,20-50 "
"2296,H,1976-1980,Employe,10,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"2297,F,1986-1990,Employe,19-20,Non,2-5,1/mois,7 h +,PJ,Non,Oui,2-5,7-10,100-200 "
"2298,H,1976-1980,Employe,13-14,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,16+,51+,500+ "
"2300,H,1991-1995,Etudiant,17-18,Non,2-5,3/an,5-6 h ,Les 2,Non,Non,0,0,0"
"2302,F,1981-1985,Cadre +,19-20,Non,2-5,1/mois,7 h +,PJ,Non,Non,0,0,0"
"2303,H,1981-1985,Cadre +,13-14,Oui,6-10,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,2-5,7-10,20 "
"2308,H,1986-1990,Cadre +,10,Oui,11-20,2/mois,3-4 h ,MJ,Oui,Oui,16+,31-50,100-200 "
"2309,H,1981-1985,Profession intermediaire,11-12,Oui,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Oui,Oui,6-10,51+,20 "
"2310,H,1976-1980,Travailleur independant,13-14,Non,11-20,3/an,5-6 h ,Les 2,Oui,Oui,11-15,51+,100-200 "
"2311,H,1976-1980,Travailleur independant,13-14,Oui,11-20,1/mois,5-6 h ,PJ,Oui,Oui,2-5,11-15,20-50 "
"2312,H,1976-1980,Cadre +,15-16,Non,2-5,1/mois,3-4 h ,PJ,Non,Oui,1,1,20 "
"2314,H,1976-1980,Cadre +,13-14,Non,21+,1/an,5-6 h ,PJ,Non,Oui,2-5,11-15,100-200 "
"2315,F,1996-2000,Etudiant,15-16,Oui,2-5,1/semaine,5-6 h ,PJ,Oui,Non,0,0,0"
"2316,F,1986-1990,Cadre +,21-22,Oui,2-5,1/an,5-6 h ,PJ,Non,Non,0,0,0"
"2318,H,1971-1975,Cadre +,15-16,Non,11-20,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,16+,31-50,20 "
"2319,H,1971-1975,Cadre +,15-16,Oui,21+,3/an,3-4 h ,MJ,Oui,Oui,16+,51+,200-500 "
"2320,H,1976-1980,Employe,11-12,Non,11-20,3/an,5-6 h ,Les 2,Oui,Oui,6-10,51+,200-500 "
"2321,F,1971-1975,Cadre +,13-14,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,6-10,51+,200-500 "
"2322,H,1981-1985,Cadre +,13-14,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,11-15,7-10,50-100 "
"2323,H,1971-1975,Employe,15-16,Oui,21+,1/an,1-2 h ,Les 2,Non,Oui,6-10,51+,20-50 "
"2324,F,1981-1985,Cadre +,13-14,Oui,21+,3/an,5-6 h ,Les 2,Oui,Non,0,0,0"
"2325,H,1971-1975,Je ne souhaite pas repondre,10,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,11-15,51+,50-100 "
"2327,H,1976-1980,Employe,11-12,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,100-200 "
"2328,F,1981-1985,Cadre +,25-30,Oui,2-5,3/an,5-6 h ,PJ,Non,Non,0,0,0"
"2330,H,1981-1985,Travailleur independant,17-18,Non,11-20,3/an,3-4 h ,Les 2,Oui,Oui,11-15,31-50,50-100 "
"2331,H,1971-1975,Cadre +,13-14,Oui,11-20,Je ne joue plus vraiment,5-6 h ,PJ,Non,Oui,2-5,7-10,20 "
"2332,H,1976-1980,Cadre +,11-12,Non,2-5,Je ne joue plus vraiment,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 "
"2333,H,1976-1980,Cadre +,11-12,Oui,21+,1/an,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"2334,H,1971-1975,Ouvrier,13-14,Non,21+,3/an,Le week end,Les 2,Non,Oui,1,7-10,20 "
"2336,H,1971-1975,Sans activite,11-12,Non,6-10,1/an,5-6 h ,Les 2,Oui,Oui,6-10,31-50,20-50 "
"2337,H,1966-1970,Employe,11-12,Oui,21+,2/mois,7 h +,Les 2,Oui,Oui,11-15,51+,500+ "
"2338,H,1981-1985,Cadre +,13-14,Oui,11-20,1/an,7 h +,Les 2,Oui,Oui,2-5,21-30,20 "
"2339,H,1986-1990,Etudiant,13-14,Oui,11-20,1/mois,5-6 h ,Les 2,Oui,Oui,1,1,20 "
"2340,H,1976-1980,En recherche d'emploi,17-18,Oui,21+,1/mois,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"2341,H,1991-1995,Employe,13-14,Oui,11-20,1/mois,5-6 h ,PJ,Oui,Oui,1,7-10,20 "
"2343,H,1981-1985,Profession intermediaire,11-12,Oui,21+,1/semaine,3-4 h ,Les 2,Oui,Oui,16+,51+,200-500 "
"2344,H,1976-1980,Employe,13-14,Non,2-5,1/an,Le week end,Les 2,Non,Oui,2-5,16-20,20-50 "
"2345,H,1981-1985,Employe,13-14,Oui,11-20,1/mois,5-6 h ,PJ,Oui,Oui,2-5,21-30,20-50 "
"2346,H,1971-1975,En recherche d'emploi,10,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,16+,51+,500+ "
"2347,H,1971-1975,Employe,11-12,Oui,21+,1/semaine,7 h +,Les 2,Oui,Oui,16+,51+,200-500 "
"2349,H,1986-1990,Employe,10,Non,2-5,Je ne joue plus vraiment,3-4 h ,PJ,Non,Oui,1,1,20-50 "
"2351,H,1971-1975,En recherche d'emploi,21-22,Oui,11-20,2/mois,3-4 h ,Les 2,Non,Oui,2-5,51+,20-50 "
"2352,H,1991-1995,Etudiant,10,Oui,6-10,3/an,3-4 h ,Les 2,Non,Oui,2-5,7-10,20-50 "
"2354,H,1976-1980,Employe,17-18,Oui,21+,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,2-5,31-50,100-200 "
"2355,F,1976-1980,Travailleur independant,21-22,Non,6-10,2/mois,3-4 h ,Les 2,Non,Oui,2-5,11-15,20-50 "
"2356,H,1981-1985,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Non,Oui,6-10,31-50,20-50 "
"2358,H,1976-1980,Employe,11-12,Oui,21+,2/mois,5-6 h ,PJ,Oui,Oui,2-5,2 ou 3,50-100 "
"2359,H,1971-1975,Employe,11-12,Oui,11-20,1/an,3-4 h ,Les 2,Oui,Oui,6-10,51+,20-50 "
"2361,H,1986-1990,Employe,15-16,Oui,21+,2/mois,5-6 h ,Les 2,Oui,Oui,2-5,16-20,100-200 "
"2362,H,1981-1985,En recherche d'emploi,10,Non,11-20,3/an,Le week end,Les 2,Non,Oui,6-10,31-50,200-500 "
"2363,F,1991-1995,En recherche d'emploi,15-16,Oui,11-20,1/semaine,5-6 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"2364,F,1986-1990,Je ne souhaite pas repondre,23-24,Non,6-10,1/mois,7 h +,Les 2,Non,Oui,2-5,7-10,20-50 "
"2365,F,1976-1980,Employe,19-20,Oui,11-20,3/an,5-6 h ,PJ,Oui,Oui,2-5,2 ou 3,20 "
"2367,H,1971-1975,Cadre +,11-12,Oui,21+,Je ne joue plus vraiment,3-4 h ,Les 2,Non,Oui,16+,51+,20 "
"2368,H,1991-1995,Etudiant,19-20,Oui,6-10,1/semaine,5-6 h ,PJ,Oui,Non,0,0,0"
"2369,H,1981-1985,Employe,15-16,Non,2-5,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,2-5,7-10,50-100 "
"2370,H,1981-1985,Cadre +,10,Oui,2-5,Je ne joue plus vraiment,5-6 h ,PJ,Oui,Oui,1,21-30,20 "
"2371,H,1976-1980,Employe,15-16,Non,2-5,1/semaine,1-2 h ,Les 2,Non,Oui,2-5,7-10,20-50 "
"2372,H,1976-1980,Employe,31-40,Non,2-5,1/mois,3-4 h ,Les 2,Oui,Oui,2-5,2 ou 3,20-50 "
"2373,H,1976-1980,Cadre +,13-14,Non,11-20,3/an,5-6 h ,Les 2,Non,Oui,6-10,51+,20-50 "
"2374,H,1991-1995,Etudiant,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,31-50,200-500 "
"2375,H,1991-1995,Etudiant,11-12,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,6-10,31-50,200-500 "
"2376,H,1981-1985,Employe,11-12,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,16-20,50-100 "
"2377,H,1971-1975,Cadre +,11-12,Oui,21+,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,6-10,31-50,20 "
"2378,F,1991-1995,Etudiant,11-12,Non,2-5,3/an,5-6 h ,PJ,Oui,Non,0,0,0"
"2380,F,1976-1980,Cadre +,19-20,Non,11-20,3/an,3-4 h ,Les 2,Non,Oui,2-5,7-10,20 "
"2382,F,1986-1990,Travailleur independant,19-20,Oui,21+,3/an,5-6 h ,Les 2,Oui,Oui,2-5,7-10,20 "
"2383,H,1981-1985,Employe,15-16,Non,6-10,1/mois,3-4 h ,PJ,Oui,Oui,2-5,7-10,20 "
"2387,F,1981-1985,Employe,17-18,Oui,11-20,2/mois,5-6 h ,PJ,Non,Oui,2-5,2 ou 3,20 "
"2389,H,1971-1975,Employe,10,Oui,21+,Je ne joue plus vraiment,7 h +,Les 2,Non,Oui,11-15,16-20,20 "
"2391,H,1971-1975,Profession intermediaire,15-16,Non,11-20,3/an,Le week end,Les 2,Non,Oui,6-10,31-50,200-500 "
"2394,H,1981-1985,Cadre +,11-12,Oui,21+,2/mois,3-4 h ,Les 2,Oui,Oui,2-5,16-20,20-50 "
"2396,H,1976-1980,Cadre +,17-18,Oui,11-20,1/mois,7 h +,Les 2,Non,Oui,2-5,21-30,20 "
"2397,H,1986-1990,Cadre +,17-18,Oui,21+,1/semaine,5-6 h ,Les 2,Oui,Oui,6-10,21-30,100-200 "
"2398,H,1981-1985,Cadre +,19-20,Non,6-10,2/mois,3-4 h ,PJ,Non,Oui,2-5,4-6,20-50 "
