"Sexe","AnneeNaissance","CSP","AgeDec","ClubJDR","NbJeuJoue","FreqJeu","DureeMoyPartie","PJMJ","Conv","AchatJDR","NbUniversAchat","NbOuvrageAche","DpnsAnnull"
"H","1986-1990","Ouvrier","11-12","Oui","6-10","1/semaine","3-4 h","Les 2","Oui","Oui","2-5","31-50","200-500"
"H","1971-1975","Employe","15-16","Oui","11-20","1/mois","5-6 h","PJ","Non","Oui","11-15","31-50","50-100"
"H","1976-1980","Cadre +","13-14","Oui","11-20","Je ne joue plus vraiment","3-4 h","Les 2","Non","Oui","11-15","31-50","20"
"F","1976-1980","Travailleur independant","25-30","Non","6-10","1/semaine","3-4 h","PJ","Non","Non",,,
"H","1981-1985","En recherche d'emploi","10","Non","11-20","1/mois","5-6 h","Les 2","Non","Oui","11-15","21-30","100-200"
"H","1976-1980","Cadre +","31-40","Non","2-5","Je ne joue plus vraiment","5-6 h","PJ","Oui","Oui","2-5","2 ou 3","20"
"F","1991-1995","Etudiant","17-18","Non","2-5","1/an","5-6 h","PJ","Oui","Oui","1","1","20"
"H","1991-1995","Etudiant","17-18","Non","2-5","3/an","7 h +","PJ","Non","Non",,,
"F","1986-1990","Employe","17-18","Oui","2-5","1/mois","3-4 h","PJ","Non","Oui","2-5","4-6","50-100"
"H","1976-1980","Travailleur independant","19-20","Non","2-5","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","2-5","21-30","20"
"H","1971-1975","Cadre +","15-16","Oui","11-20","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","2-5","21-30","20"
"H","1981-1985","Travailleur independant","17-18","Non","6-10","1/semaine","3-4 h","Les 2","Oui","Oui","6-10","51+","500+"
"H","1971-1975","Employe","15-16","Oui","6-10","1/mois","7 h +","Les 2","Oui","Oui","2-5","11-15","50-100"
"H","1971-1975","Cadre +","11-12","Oui","21+","1/mois","3-4 h","Les 2","Oui","Oui","16+","51+","200-500"
"H","1991-1995","Employe","17-18","Non","2-5","3/an","7 h +","MJ","Oui","Oui","2-5","7-10","100-200"
"H","1991-1995","En recherche d'emploi","13-14","Oui","6-10","1/semaine","5-6 h","Les 2","Oui","Oui","1","1","20-50"
"H","1976-1980","Cadre +","13-14","Non","11-20","2/mois","3-4 h","Les 2","Oui","Oui","2-5","11-15","20-50"
"H","1981-1985","Employe","15-16","Oui","11-20","1/an","5-6 h","Les 2","Oui","Oui","6-10","7-10","20-50"
"H","1976-1980","Profession intermediaire","11-12","Oui","21+","2/mois","3-4 h","Les 2","Oui","Oui","16+","51+","50-100"
"H","1976-1980","Cadre +","11-12","Non","21+","2/mois","3-4 h","Les 2","Oui","Oui","16+","51+","200-500"
"H","1971-1975","Employe","13-14","Oui","21+","1/semaine","3-4 h","Les 2","Non","Oui","6-10","51+","200-500"
"H","1971-1975","Cadre +","31-40","Oui","11-20","Je ne joue plus vraiment","3-4 h","PJ","Non","Oui","2-5","4-6","20"
"H","1991-1995","Etudiant","13-14","Non","2-5","1/mois","7 h +","PJ","Non","Oui","1","1","20-50"
"H","1976-1980","En recherche d'emploi","11-12","Non","21+","2/mois","5-6 h","Les 2","Oui","Oui","2-5","2 ou 3","20"
"H","1991-1995","Etudiant","19-20","Oui","21+","1/mois","5-6 h","Les 2","Oui","Non",,,
"H","1991-1995","Etudiant","15-16","Oui","6-10","3/an","3-4 h","Les 2","Oui","Oui","2-5","16-20","50-100"
"F","1986-1990","Etudiant","15-16","Oui","11-20","Je ne joue plus vraiment","5-6 h","PJ","Oui","Oui","2-5","4-6","20"
"H","1986-1990","Employe","19-20","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","6-10","11-15","100-200"
"H","1976-1980","Employe","10","Non","1","1/an","Le week end","PJ","Non","Oui","2-5","21-30","100-200"
"H","1971-1975","Profession intermediaire","15-16","Oui","21+","Je ne joue plus vraiment","5-6 h","PJ","Oui","Oui","2-5","2 ou 3","20"
"H","1976-1980","Employe","15-16","Non","2-5","3/an","7 h +","MJ","Non","Oui","1","4-6","20"
"H","1971-1975","Cadre +","15-16","Oui","6-10","1/mois","5-6 h","PJ","Non","Oui","2-5","4-6","20"
"H","1986-1990","Cadre +","11-12","Oui","21+","2/mois","Le week end","Les 2","Oui","Oui","11-15","21-30","200-500"
"H","1976-1980","Employe","13-14","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","6-10","21-30","100-200"
"H","1971-1975","Employe","13-14","Oui","21+","1/semaine","3-4 h","Les 2","Oui","Oui","2-5","51+","200-500"
"H","1986-1990","Profession intermediaire","13-14","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","16+","51+","100-200"
"H","1991-1995","Etudiant","11-12","Non","6-10","1/semaine","3-4 h","Les 2","Oui","Oui","2-5","7-10","100-200"
"H","1986-1990","Etudiant","17-18","Oui","2-5","1/mois","Le week end","Les 2","Non","Non",,,
"H","1986-1990","Etudiant","15-16","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","2-5","7-10","20"
"H","1971-1975","Cadre +","19-20","Oui","21+","3/an","5-6 h","Les 2","Oui","Oui","6-10","51+","200-500"
"H","1971-1975","Cadre +","11-12","Non","6-10","Je ne joue plus vraiment","3-4 h","Les 2","Non","Oui","16+","51+","50-100"
"H","1976-1980","Employe","13-14","Non","11-20","3/an","5-6 h","Les 2","Non","Oui","6-10","51+","20-50"
"H","1981-1985","Cadre +","11-12","Oui","21+","1/semaine","7 h +","Les 2","Oui","Oui","6-10","21-30","100-200"
"H","1986-1990","Employe","11-12","Oui","21+","1/mois","7 h +","PJ","Oui","Oui","1","2 ou 3","20-50"
"F","1981-1985","Employe","10","Non","2-5","2/mois","3-4 h","PJ","Non","Oui","1","2 ou 3","20"
"H","1981-1985","Employe","11-12","Oui","11-20","1/mois","5-6 h","Les 2","Oui","Oui","6-10","31-50","50-100"
"H","1976-1980","Je ne souhaite pas repondre","19-20","Non","2-5","Je ne joue plus vraiment","7 h +","Les 2","Non","Oui","6-10","7-10","20"
"H","1976-1980","Cadre +","10","Oui","21+","3/an","Le week end","Les 2","Oui","Oui","11-15","51+","50-100"
"H","1991-1995","Etudiant","17-18","Oui","2-5","1/semaine","3-4 h","Les 2","Oui","Non",,,
"H","1971-1975","Cadre +","11-12","Non","11-20","2/mois","5-6 h","Les 2","Non","Oui","6-10","51+","200-500"
"H","1971-1975","Cadre +","11-12","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","16+","51+","200-500"
"H","1976-1980","Employe","17-18","Oui","21+","2/mois","3-4 h","Les 2","Oui","Oui","6-10","21-30","20-50"
"H","1991-1995","Cadre +","15-16","Oui","2-5","2/mois","5-6 h","PJ","Oui","Oui","6-10","7-10","50-100"
"F","1971-1975","Cadre +","19-20","Oui","11-20","1/mois","5-6 h","PJ","Oui","Oui","6-10","4-6","20-50"
"H","1981-1985","Ouvrier","15-16","Oui","11-20","1/mois","5-6 h","Les 2","Non","Oui","2-5","21-30","20-50"
"H","1971-1975","Cadre +","10","Oui","21+","2/mois","5-6 h","Les 2","Non","Oui","6-10","21-30","50-100"
"F","1991-1995","Etudiant","17-18","Oui","6-10","1/semaine","3-4 h","Les 2","Oui","Non",,,
"F","1981-1985","Employe","23-24","Oui","11-20","3/an","5-6 h","PJ","Oui","Non",,,
"H","1981-1985","Etudiant","15-16","Non","11-20","1/semaine","5-6 h","Les 2","Oui","Oui","2-5","16-20","50-100"
"H","1966-1970","Employe","13-14","Oui","21+","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","16+","51+","200-500"
"H","1981-1985","Cadre +","19-20","Non","2-5","Je ne joue plus vraiment","3-4 h","Les 2","Non","Oui","2-5","4-6","20"
"H","1971-1975","Employe","11-12","Oui","21+","Je ne joue plus vraiment","5-6 h","Les 2","Oui","Oui","16+","51+","20"
"F","1986-1990","Cadre +","21-22","Non","6-10","3/an","5-6 h","PJ","Non","Oui","2-5","2 ou 3","20"
"H","1976-1980","Cadre +","11-12","Non","11-20","1/mois","5-6 h","Les 2","Non","Oui","16+","51+","500+"
"H","1971-1975","Cadre +","11-12","Non","6-10","2/mois","3-4 h","Les 2","Oui","Oui","16+","51+","200-500"
"H","1976-1980","Je ne souhaite pas repondre","10","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","16+","51+","100-200"
"H","1981-1985","Cadre +","13-14","Oui","11-20","1/semaine","3-4 h","Les 2","Oui","Oui","2-5","1","20-50"
"H","1981-1985","Cadre +","11-12","Non","21+","1/semaine","1-2 h","MJ","Non","Oui","16+","51+","200-500"
"H","1981-1985","Employe","15-16","Oui","21+","1/semaine","7 h +","Les 2","Oui","Oui","16+","51+","500+"
"H","1966-1970","Employe","15-16","Oui","21+","2/mois","Le week end","Les 2","Oui","Oui","16+","51+","200-500"
"H","1966-1970","Cadre +","17-18","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","6-10","16-20","100-200"
"H","1976-1980","Cadre +","15-16","Non","11-20","1/mois","3-4 h","Les 2","Oui","Oui","2-5","21-30","100-200"
"F","1986-1990","Etudiant","19-20","Oui","2-5","1/mois","3-4 h","Les 2","Oui","Oui","2-5","2 ou 3","20-50"
"H","1971-1975","Cadre +","15-16","Non","21+","3/an","7 h +","Les 2","Non","Oui","16+","51+","50-100"
"H","1986-1990","Employe","13-14","Non","2-5","1/mois","5-6 h","PJ","Oui","Oui","2-5","2 ou 3","500+"
"F","1996-2000","Etudiant","13-14","Non","2-5","Je ne joue plus vraiment","3-4 h","PJ","Non","Non",,,
"H","1976-1980","Ouvrier","15-16","Oui","21+","3/an","5-6 h","Les 2","Oui","Oui","11-15","31-50","100-200"
"H","1986-1990","Etudiant","21-22","Oui","11-20","2/mois","3-4 h","Les 2","Oui","Oui","1","1","20"
"H","1986-1990","Cadre +","10","Non","11-20","1/an","3-4 h","Les 2","Oui","Oui","6-10","11-15","50-100"
"F","1986-1990","Employe","21-22","Non","2-5","3/an","5-6 h","PJ","Non","Non",,,
"H","1971-1975","Cadre +","11-12","Oui","21+","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","16+","51+","20"
"F","1986-1990","En recherche d'emploi","23-24","Non","2-5","1/semaine","3-4 h","PJ","Non","Non",,,
"H","1986-1990","En recherche d'emploi","15-16","Oui","11-20","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","2-5","2 ou 3","20"
"H","1991-1995","Etudiant","11-12","Oui","11-20","1/mois","5-6 h","Les 2","Oui","Oui","6-10","11-15","20"
"F","1986-1990","Cadre +","17-18","Non","2-5","Je ne joue plus vraiment","5-6 h","PJ","Oui","Oui","1","4-6","100-200"
"F","1986-1990","En recherche d'emploi","19-20","Oui","6-10","1/semaine","5-6 h","PJ","Oui","Non",,,
"H","1986-1990","Cadre +","25-30","Non","2-5","2/mois","3-4 h","Les 2","Non","Non",,,
"H","1981-1985","Cadre +","17-18","Non","6-10","1/semaine","5-6 h","Les 2","Non","Oui","1","1","20"
"H","1976-1980","Cadre +","15-16","Oui","11-20","1/an","Le week end","Les 2","Oui","Oui","6-10","31-50","20-50"
"H","1966-1970","Cadre +","13-14","Non","11-20","3/an","5-6 h","Les 2","Oui","Oui","16+","51+","500+"
"H","1971-1975","Cadre +","15-16","Oui","11-20","3/an","Le week end","Les 2","Oui","Oui","6-10","31-50","20"
"H","1971-1975","Employe","15-16","Non","21+","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","16+","51+","100-200"
"H","1991-1995","Etudiant","17-18","Non","2-5","1/mois","3-4 h","Les 2","Non","Oui","1","4-6","50-100"
"H","1991-1995","Etudiant","11-12","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","6-10","21-30","50-100"
"H","1971-1975","Cadre +","13-14","Non","21+","1/semaine","3-4 h","Les 2","Oui","Oui","16+","51+","500+"
"H","1986-1990","Etudiant","10","Oui","11-20","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","21-30","200-500"
"H","1981-1985","Employe","13-14","Non","11-20","1/mois","5-6 h","PJ","Non","Oui","1","2 ou 3","20-50"
"H","1981-1985","Cadre +","17-18","Non","21+","2/mois","5-6 h","Les 2","Oui","Oui","6-10","21-30","100-200"
"H","1971-1975","Employe","11-12","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","16+","51+","100-200"
"F","1991-1995","Etudiant","15-16","Oui","2-5","1/semaine","Le week end","PJ","Oui","Oui","2-5","2 ou 3","50-100"
"H","1986-1990","Sans activite","13-14","Oui","21+","1/semaine","7 h +","Les 2","Oui","Oui","11-15","51+","500+"
"H","1981-1985","Cadre +","23-24","Oui","11-20","1/semaine","7 h +","Les 2","Oui","Oui","2-5","11-15","50-100"
"H","1976-1980","Travailleur independant","13-14","Oui","21+","1/semaine","3-4 h","Les 2","Non","Oui","6-10","31-50","100-200"
"H","1971-1975","Cadre +","13-14","Oui","11-20","1/mois","5-6 h","Les 2","Oui","Oui","11-15","21-30","100-200"
"H","1976-1980","Employe","13-14","Oui","21+","1/mois","5-6 h","Les 2","Non","Oui","6-10","21-30","50-100"
"H","1991-1995","Etudiant","15-16","Oui","6-10","1/mois","5-6 h","Les 2","Oui","Oui","2-5","2 ou 3","100-200"
"F","1991-1995","Etudiant","21-22","Oui","6-10","2/mois","3-4 h","PJ","Non","Non",,,
"H","1976-1980","Employe","11-12","Oui","6-10","1/semaine","3-4 h","PJ","Non","Oui","2-5","7-10","20-50"
"H","1991-1995","Etudiant","11-12","Oui","6-10","2/mois","7 h +","Les 2","Oui","Oui","1","4-6","20-50"
"F","1966-1970","Je ne souhaite pas repondre","13-14","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","21-30","50-100"
"H","1986-1990","Employe","17-18","Oui","6-10","2/mois","3-4 h","Les 2","Oui","Oui","6-10","21-30","50-100"
"H","1981-1985","Travailleur independant","10","Non","11-20","1/semaine","5-6 h","Les 2","Oui","Oui","11-15","21-30","200-500"
"H","1986-1990","Employe","13-14","Non","6-10","Je ne joue plus vraiment","5-6 h","Les 2","Oui","Oui","2-5","4-6","20"
"H","1981-1985","Cadre +","11-12","Non","6-10","3/an","3-4 h","Les 2","Non","Oui","2-5","11-15","20-50"
"H","1991-1995","Travailleur independant","21-22","Non","1","1/mois","5-6 h","PJ","Oui","Non",,,
"H","1981-1985","Cadre +","13-14","Oui","11-20","1/semaine","3-4 h","Les 2","Oui","Oui","2-5","21-30","100-200"
"H","1986-1990","Employe","15-16","Non","2-5","3/an","7 h +","PJ","Oui","Non",,,
"H","1976-1980","Cadre +","15-16","Oui","21+","1/mois","5-6 h","Les 2","Non","Oui","11-15","51+","200-500"
"H","1991-1995","Etudiant","19-20","Oui","1","2/mois","3-4 h","PJ","Non","Non",,,
"F","1986-1990","Employe","15-16","Oui","6-10","1/mois","7 h +","PJ","Oui","Oui","1","2 ou 3","20"
"H","1976-1980","Profession intermediaire","15-16","Non","11-20","3/an","5-6 h","MJ","Non","Oui","6-10","21-30","20-50"
"F","1981-1985","Cadre +","19-20","Non","2-5","1/mois","7 h +","PJ","Non","Non",,,
"H","1981-1985","Cadre +","13-14","Oui","6-10","Je ne joue plus vraiment","5-6 h","PJ","Oui","Oui","2-5","7-10","20"
"H","1981-1985","Employe","13-14","Oui","21+","3/an","5-6 h","Les 2","Oui","Oui","11-15","31-50","100-200"
"H","1976-1980","Je ne souhaite pas repondre","13-14","Non","6-10","1/semaine","1-2 h","Les 2","Non","Oui","11-15","51+","500+"
"H","1976-1980","Travailleur independant","13-14","Non","11-20","3/an","5-6 h","Les 2","Oui","Oui","11-15","51+","100-200"
"H","1976-1980","Cadre +","15-16","Non","2-5","1/mois","3-4 h","PJ","Non","Oui","1","1","20"
"H","1971-1975","Je ne souhaite pas repondre","10","Oui","21+","2/mois","7 h +","Les 2","Oui","Oui","11-15","51+","50-100"
"H","1991-1995","Etudiant","11-12","Oui","6-10","1/mois","1-2 h","Les 2","Non","Oui","2-5","2 ou 3","20"
"H","1971-1975","Cadre +","13-14","Oui","11-20","Je ne joue plus vraiment","5-6 h","PJ","Non","Oui","2-5","7-10","20"
"F","1991-1995","En recherche d'emploi","19-20","Non","2-5","1/semaine","5-6 h","PJ","Non","Oui","2-5","1","20"
"H","1966-1970","Employe","11-12","Oui","21+","2/mois","7 h +","Les 2","Oui","Oui","11-15","51+","500+"
"H","1981-1985","Cadre +","13-14","Oui","11-20","1/an","7 h +","Les 2","Oui","Oui","2-5","21-30","20"
"H","1986-1990","Etudiant","13-14","Oui","11-20","1/mois","5-6 h","Les 2","Oui","Oui","1","1","20"
"H","1976-1980","En recherche d'emploi","17-18","Oui","21+","1/mois","5-6 h","Les 2","Oui","Oui","16+","51+","500+"
"H","1976-1980","Employe","13-14","Non","2-5","1/an","Le week end","Les 2","Non","Oui","2-5","16-20","20-50"
"H","1981-1985","Cadre +","13-14","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","2-5","7-10","50-100"
"H","1976-1980","Employe","11-12","Oui","21+","2/mois","5-6 h","PJ","Oui","Oui","2-5","2 ou 3","50-100"
"H","1986-1990","Employe","15-16","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","2-5","16-20","100-200"
"H","1981-1985","En recherche d'emploi","10","Non","11-20","3/an","Le week end","Les 2","Non","Oui","6-10","31-50","200-500"
"H","1976-1980","Cadre +","13-14","Non","11-20","3/an","5-6 h","Les 2","Non","Oui","6-10","51+","20-50"
"H","1991-1995","Etudiant","11-12","Oui","21+","3/an","5-6 h","Les 2","Oui","Oui","6-10","31-50","200-500"
"H","1981-1985","Employe","11-12","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","16-20","50-100"
"H","1971-1975","Cadre +","11-12","Oui","21+","Je ne joue plus vraiment","7 h +","Les 2","Non","Oui","6-10","31-50","20"
"H","1976-1980","Employe","11-12","Non","6-10","1/mois","7 h +","PJ","Non","Oui","1","2 ou 3","20"
"H","1986-1990","Cadre +","17-18","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","21-30","100-200"
"H","1981-1985","Travailleur independant","21-22","Non","6-10","Je ne joue plus vraiment","Le week end","Les 2","Non","Oui","2-5","1","20"
"H","1981-1985","Profession intermediaire","17-18","Oui","6-10","2/mois","3-4 h","Les 2","Oui","Oui","2-5","11-15","50-100"
"H","1981-1985","Employe","11-12","Non","11-20","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","6-10","31-50","50-100"
"H","1986-1990","En recherche d'emploi","13-14","Non","2-5","Je ne joue plus vraiment","Le week end","PJ","Oui","Non",,,
"H","1976-1980","Cadre +","11-12","Non","21+","2/mois","3-4 h","Les 2","Oui","Oui","16+","51+","20"
"H","1971-1975","Cadre +","11-12","Non","2-5","1/mois","5-6 h","Les 2","Non","Oui","2-5","21-30","500+"
"F","1991-1995","Etudiant","17-18","Oui","6-10","1/mois","5-6 h","Les 2","Oui","Oui","2-5","2 ou 3","50-100"
"H","1971-1975","Employe","15-16","Oui","21+","1/an","7 h +","MJ","Non","Oui","16+","51+","20"
"H","1981-1985","Ouvrier","11-12","Non","11-20","2/mois","5-6 h","Les 2","Oui","Oui","6-10","16-20","100-200"
"H","1966-1970","Employe","13-14","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","16+","51+","500+"
"H","1971-1975","Cadre +","19-20","Oui","11-20","3/an","5-6 h","Les 2","Oui","Oui","2-5","21-30","20-50"
"H","1976-1980","Employe","13-14","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","16+","51+","100-200"
"H","1971-1975","Employe","15-16","Oui","11-20","1/mois","7 h +","Les 2","Oui","Oui","2-5","31-50","50-100"
"H","1986-1990","Profession intermediaire","13-14","Non","11-20","3/an","7 h +","Les 2","Non","Oui","11-15","51+","100-200"
"H","1976-1980","En recherche d'emploi","15-16","Oui","2-5","1/semaine","3-4 h","Les 2","Non","Oui","6-10","16-20","100-200"
"H","1971-1975","Ouvrier","13-14","Non","11-20","1/mois","3-4 h","PJ","Non","Oui","6-10","21-30","100-200"
"H","1986-1990","Employe","13-14","Non","21+","3/an","7 h +","Les 2","Oui","Oui","2-5","21-30","100-200"
"H","1986-1990","Cadre +","19-20","Non","2-5","3/an","5-6 h","PJ","Non","Non",,,
"H","1986-1990","Etudiant","19-20","Oui","6-10","2/mois","5-6 h","PJ","Oui","Oui","2-5","7-10","50-100"
"H","1981-1985","Employe","13-14","Oui","6-10","1/semaine","3-4 h","PJ","Oui","Oui","2-5","4-6","20"
"H","1976-1980","Cadre +","10","Oui","11-20","3/an","5-6 h","Les 2","Oui","Oui","6-10","51+","20-50"
"H","1976-1980","Employe","15-16","Non","2-5","3/an","5-6 h","MJ","Non","Oui","6-10","51+","200-500"
"H","1976-1980","Employe","15-16","Non","2-5","1/mois","5-6 h","Les 2","Non","Oui","2-5","2 ou 3","20-50"
"H","1976-1980","Employe","11-12","Non","21+","1/mois","7 h +","Les 2","Non","Oui","6-10","51+","100-200"
"H","1971-1975","Cadre +","15-16","Non","21+","1/mois","3-4 h","Les 2","Non","Oui","16+","51+","500+"
"H","1971-1975","Employe","19-20","Non","11-20","Je ne joue plus vraiment","Le week end","PJ","Non","Oui","2-5","1","20"
"H","1986-1990","En recherche d'emploi","15-16","Oui","11-20","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","31-50","100-200"
"H","1991-1995","Etudiant","17-18","Oui","2-5","1/mois","5-6 h","Les 2","Oui","Non",,,
"H","1986-1990","Employe","17-18","Oui","21+","3/an","5-6 h","Les 2","Oui","Oui","2-5","16-20","50-100"
"H","1986-1990","Cadre +","17-18","Non","2-5","Je ne joue plus vraiment","3-4 h","MJ","Non","Oui","2-5","2 ou 3","20"
"H","1971-1975","Cadre +","15-16","Oui","11-20","1/mois","3-4 h","Les 2","Non","Oui","6-10","51+","100-200"
"H","1966-1970","Employe","15-16","Oui","21+","1/mois","7 h +","Les 2","Non","Oui","16+","31-50","500+"
"H","1971-1975","Cadre +","11-12","Non","21+","Je ne joue plus vraiment","7 h +","MJ","Oui","Oui","16+","51+","200-500"
"H","1991-1995","Etudiant","19-20","Oui","2-5","2/mois","5-6 h","PJ","Oui","Non",,,
"H","1981-1985","Employe","17-18","Non","2-5","1/an","5-6 h","PJ","Oui","Oui","2-5","2 ou 3","20"
"F","1981-1985","Cadre +","19-20","Oui","6-10","1/mois","3-4 h","PJ","Non","Oui","2-5","7-10","20-50"
"F","1976-1980","Etudiant","25-30","Non","6-10","3/an","3-4 h","PJ","Non","Oui","1","1","20"
"H","1976-1980","Cadre +","15-16","Non","6-10","1/mois","5-6 h","Les 2","Non","Oui","2-5","4-6","20-50"
"H","1981-1985","Cadre +","19-20","Non","6-10","1/mois","5-6 h","Les 2","Non","Oui","2-5","21-30","200-500"
"H","1981-1985","Employe","19-20","Oui","21+","1/semaine","5-6 h","Les 2","Oui","Oui","6-10","7-10","200-500"
"H","1986-1990","En recherche d'emploi","13-14","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","2-5","7-10","20"
"H","1971-1975","En recherche d'emploi","11-12","Non","21+","2/mois","7 h +","Les 2","Non","Oui","16+","51+","500+"
"H","1991-1995","Etudiant","13-14","Oui","6-10","3/an","5-6 h","Les 2","Non","Oui","11-15","31-50","200-500"
"H","1981-1985","Employe","17-18","Oui","6-10","1/semaine","3-4 h","Les 2","Oui","Oui","6-10","16-20","50-100"
"H","1971-1975","Cadre +","13-14","Non","2-5","3/an","3-4 h","Les 2","Oui","Oui","2-5","11-15","20"
"H","1981-1985","Cadre +","19-20","Non","2-5","1/an","5-6 h","Les 2","Non","Oui","2-5","7-10","100-200"
"H","1981-1985","Employe","11-12","Non","21+","Je ne joue plus vraiment","7 h +","Les 2","Oui","Oui","16+","51+","200-500"
"H","1971-1975","Cadre +","15-16","Non","11-20","Je ne joue plus vraiment","1-2 h","MJ","Non","Oui","2-5","4-6","20-50"
"H","1976-1980","Travailleur independant","13-14","Non","21+","3/an","5-6 h","Les 2","Oui","Oui","11-15","51+","100-200"
"H","1981-1985","Employe","13-14","Oui","11-20","Je ne joue plus vraiment","3-4 h","Les 2","Oui","Oui","2-5","21-30","100-200"
"H","1966-1970","Cadre +","13-14","Non","11-20","1/mois","3-4 h","MJ","Non","Oui","11-15","51+","200-500"
"H","1976-1980","Cadre +","13-14","Non","11-20","3/an","5-6 h","Les 2","Non","Oui","11-15","7-10","20-50"
"H","1971-1975","Travailleur independant","13-14","Oui","11-20","Je ne joue plus vraiment","5-6 h","Les 2","Non","Oui","2-5","31-50","20-50"
"H","1971-1975","Cadre +","10","Oui","6-10","3/an","Le week end","Les 2","Oui","Oui","2-5","16-20","20-50"
"H","1971-1975","Employe","17-18","Oui","11-20","3/an","7 h +","MJ","Non","Oui","6-10","51+","100-200"
"H","1976-1980","Cadre +","10","Oui","21+","Je ne joue plus vraiment","5-6 h","Les 2","Oui","Oui","6-10","51+","20-50"
"H","1981-1985","Travailleur independant","21-22","Oui","11-20","2/mois","7 h +","Les 2","Oui","Oui","6-10","51+","200-500"
"H","1986-1990","Travailleur independant","15-16","Non","2-5","2/mois","5-6 h","Les 2","Non","Oui","1","1","20"
"F","1971-1975","Cadre +","11-12","Oui","21+","Je ne joue plus vraiment","7 h +","Les 2","Oui","Oui","2-5","4-6","20"
"H","1981-1985","Etudiant","15-16","Non","6-10","Je ne joue plus vraiment","7 h +","PJ","Non","Oui","2-5","31-50","20"
"F","1976-1980","Cadre +","17-18","Oui","11-20","Je ne joue plus vraiment","5-6 h","PJ","Non","Non",,,
"F","1986-1990","Etudiant","17-18","Oui","2-5","2/mois","3-4 h","PJ","Oui","Oui","1","2 ou 3","20-50"
"H","1981-1985","Employe","13-14","Oui","11-20","2/mois","5-6 h","Les 2","Non","Oui","2-5","31-50","200-500"
"H","1986-1990","Etudiant","19-20","Oui","21+","2/mois","7 h +","Les 2","Oui","Non",,,
"H","1991-1995","Etudiant","11-12","Non","6-10","2/mois","7 h +","MJ","Oui","Oui","11-15","51+","200-500"
"H","1971-1975","Employe","10","Oui","21+","3/an","3-4 h","Les 2","Oui","Oui","16+","51+","20-50"
"H","1976-1980","Employe","15-16","Oui","11-20","2/mois","7 h +","Les 2","Non","Oui","2-5","51+","20"
"H","1976-1980","Cadre +","17-18","Oui","11-20","3/an","5-6 h","Les 2","Oui","Oui","6-10","51+","50-100"
"H","1976-1980","Travailleur independant","10","Non","21+","1/semaine","5-6 h","Les 2","Non","Oui","16+","51+","100-200"
"H","1966-1970","Etudiant","23-24","Non","6-10","2/mois","3-4 h","Les 2","Non","Oui","2-5","31-50","20-50"
"H","1971-1975","Cadre +","10","Oui","21+","1/an","5-6 h","Les 2","Non","Oui","1","51+","50-100"
"H","1986-1990","Profession intermediaire","21-22","Oui","11-20","2/mois","5-6 h","Les 2","Oui","Oui","2-5","7-10","50-100"
"F","1986-1990","En recherche d'emploi","19-20","Oui","11-20","1/mois","3-4 h","Les 2","Oui","Non",,,
"H","1991-1995","Etudiant","10","Oui","21+","1/mois","5-6 h","PJ","Oui","Non",,,
"H","1966-1970","Employe","13-14","Non","21+","1/mois","3-4 h","Les 2","Non","Oui","6-10","51+","100-200"
"F","1981-1985","En recherche d'emploi","15-16","Non","6-10","1/semaine","3-4 h","PJ","Non","Oui","2-5","2 ou 3","20"
"F","1976-1980","Cadre +","25-30","Non","2-5","1/an","3-4 h","PJ","Non","Non",,,
"H","1991-1995","Etudiant","15-16","Non","11-20","1/an","5-6 h","Les 2","Oui","Oui","2-5","7-10","20"
"H","1981-1985","Employe","17-18","Oui","11-20","2/mois","3-4 h","Les 2","Oui","Oui","2-5","7-10","100-200"
"H","1976-1980","Cadre +","13-14","Oui","21+","2/mois","5-6 h","Les 2","Oui","Oui","16+","51+","500+"
